Index,Coins,Dice,NaCl,KCl
0,5,2,5,4
1,3,2,5,3
2,5,5,4,5
3,7,7,3,7
4,3,6,5,6
5,7,4,2,6
6,4,5,2,7
7,7,6,0,3
8,6,2,2,7
9,7,4,3,8
10,5,10,2,1
11,6,4,4,3
12,6,6,7,5
13,3,5,3,7
14,2,5,2,3
15,4,5,6,8
16,2,10,8,6
17,7,5,4,11
18,5,7,0,5
19,5,6,6,2
20,4,9,3,3
21,5,2,0,7
22,5,5,4,5
23,5,7,2,9
24,5,0,4,9
25,2,8,3,6
26,6,7,4,6
27,7,4,1,9
28,5,5,0,5
29,4,1,2,8
30,3,6,1,9
31,3,7,4,5
32,6,7,5,6
33,3,8,3,8
34,7,5,1,3
35,4,2,6,11
36,5,1,3,13
37,6,6,4,9
38,8,5,3,6
39,4,10,3,10
40,4,9,2,4
41,4,0,2,14
42,5,2,3,19
43,6,2,4,6
44,6,5,4,6
45,3,5,2,3
46,6,7,2,7
47,8,7,5,4
48,4,4,5,5
49,4,6,5,3
