"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
650,0.0159243152514,650,0.0166034561685,650,0.0163569848173,650,0.016039406424,650,0.0157312504768
650.6,0.0155710688945,650.6,0.0167171358816,650.6,0.016193713283,650.6,0.016457503624,650.6,0.0158113603418
651.3,0.0162226291295,651.3,0.0166263447013,651.3,0.0156764324407,651.3,0.0155816357671,651.3,0.015644274052
651.9,0.0163897154192,651.9,0.0171588845655,651.9,0.016097581445,651.9,0.0162545586328,651.9,0.0168794918746
652.6,0.0175486381323,652.6,0.0176258106355,652.6,0.0180049591821,652.6,0.0179765392538,652.6,0.0172815671015
653.3,0.0195666437781,653.3,0.0200184252689,653.3,0.0194721141375,653.3,0.0194513237201,653.3,0.0193003356985
653.9,0.0272373540856,653.9,0.0271916914626,653.9,0.0263348592355,653.9,0.026376630808,653.9,0.026601014725
654.6,0.0915861753262,654.6,0.0925949111162,654.6,0.0860663004501,654.6,0.0779887464714,654.6,0.0744975585565
655.2,0.41774929427,655.2,0.429205882353,655.2,0.399108186465,655.2,0.385216182193,655.2,0.37082776379
655.9,0.868934920272,655.9,0.906544708934,655.9,0.85699328603,655.9,0.895750247959,655.9,0.871086404211
656.6,0.312597848478,656.6,0.323620317388,656.6,0.300465476463,656.6,0.435860112917,656.6,0.424298428321
657.2,0.0176081483177,657.2,0.0182415121691,657.2,0.0175548180362,657.2,0.0179567025254,657.2,0.0182688258183
657.9,0.0159800106813,657.9,0.015932059205,657.9,0.0157885862516,657.9,0.0160302510109,657.9,0.0160333791104
658.5,0.0155115587091,658.5,0.0156459525444,658.5,0.0161830319677,658.5,0.0156564049744,658.5,0.0151170748455
659.2,0.0163775082017,659.2,0.0158862821393,659.2,0.0153537041276,659.2,0.0157258335241,659.2,0.0155321202411
659.8,0.0157427328908,659.8,0.016052605478,659.8,0.0162074464027,659.8,0.015274929427,659.8,0.0160257495995
660.5,0.0162386511025,660.5,0.0156833371481,660.5,0.0154177920195,660.5,0.0156350423438,660.5,0.0153558785382
661.2,0.0150972762646,661.2,0.0161662851911,661.2,0.01534149691,661.2,0.0157456702525,661.2,0.0153108644236
661.8,0.0156908522164,661.8,0.0162410543984,661.8,0.0156176852064,661.8,0.0162316700999,661.8,0.0154199664302
