,Time,Voltage,Current,PhotoCurrent
0,0.0,3.999483,0.107399,0.000886
1,1.0,4.999443,0.121979,0.001709
2,2.0,5.999354,0.135549,0.002818
3,3.0,6.999373,0.148162,0.004316
4,4.0,7.9992,0.159983,0.006006
5,5.0,8.998361,0.171142,0.008062
6,6.0,9.998784,0.181742,0.010271
7,7.0,10.99892,0.191845,0.012834
8,8.0,11.99869,0.201536,0.015637
9,9.0,12.99837,0.210822,0.018553
10,10.0,13.99771,0.219802,0.02177
11,11.0,14.99761,0.228483,0.025139
12,12.0,15.99668,0.236637,0.028589
13,13.0,16.99652,0.24483,0.032264
14,14.0,17.99601,0.252799,0.036262
15,15.0,18.99576,0.260594,0.040228
16,16.0,19.99561,0.268219,0.04437
