,Time,Voltage,Current
0,0.0,0.199951,0.035596
1,1.0,0.399698,0.049294
2,2.0,0.599825,0.049469
3,3.0,0.799588,0.048833
4,4.0,0.999398,0.051395
5,5.0,1.49954,0.063262
6,6.0,1.999381,0.073028
7,7.0,2.498984,0.082394
8,8.0,2.999061,0.09129
9,9.0,3.498821,0.099657
10,10.0,3.999135,0.107588
11,11.0,4.499004,0.115126
12,12.0,4.999174,0.122324
13,13.0,5.499359,0.129226
14,14.0,5.999053,0.135863
15,15.0,6.499443,0.142247
16,16.0,6.999135,0.14843
17,17.0,7.498559,0.154401
18,18.0,7.998931,0.160229
19,19.0,8.498242,0.165863
20,20.0,8.998013,0.17135
21,21.0,9.498621,0.17672
22,22.0,9.998405,0.181942
23,23.0,10.99859,0.192057
24,24.0,11.99838,0.201744
25,25.0,12.99797,0.211042
26,26.0,13.9972,0.22001
27,27.0,14.99725,0.228691
28,28.0,15.9963,0.236868
29,29.0,16.99614,0.245053
30,30.0,17.99563,0.253019
31,31.0,18.99534,0.260814
32,32.0,19.9951,0.268443
33,33.0,20.99535,0.275924
34,34.0,21.99568,0.283272
35,35.0,22.99535,0.290504
36,36.0,23.99518,0.297614
37,37.0,24.99539,0.304656
38,38.0,25.99585,0.311589
39,39.0,26.99679,0.318453
40,40.0,27.99719,0.325219
41,41.0,28.99803,0.331913
42,42.0,29.99835,0.338528
