Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel),Run 5: Wavelength (nm),Run 5: Intensity (rel),Run 6: Wavelength (nm),Run 6: Intensity (rel),Run 7: Wavelength (nm),Run 7: Intensity (rel)
650.6,0.015829671,478.7,0.015753872,428.1,0.019903067,398,0.059954223,392.1,0.123123522,385,0.142121004
651.3,0.016234035,479.4,0.017002823,428.7,0.022439879,398.6,0.069262226,392.8,0.123184558,385.7,0.150406653
651.9,0.016665866,480.1,0.017060807,429.4,0.018119287,399.3,0.050997177,393.4,0.11175555,386.3,0.155335317
652.6,0.01774773,480.7,0.016478676,430.1,0.023511826,399.9,0.049593347,394.1,0.137985809,387,0.159577325
653.3,0.019094339,481.4,0.017117266,430.7,0.020325742,400.5,0.054659342,394.7,0.14421149,387.6,0.180024414
653.9,0.024562409,482.1,0.017112688,431.4,0.025860189,401.2,0.049303426,395.4,0.166947433,388.3,0.227235828
654.6,0.065819753,482.7,0.018879683,432.1,0.052453613,401.8,0.045137713,396,0.302661173,388.9,0.315143053
655.2,0.348009422,483.4,0.022951553,432.7,0.276276761,402.5,0.069750515,396.7,0.655495537,389.6,0.160675975
655.9,0.870486725,484.1,0.064469062,433.4,0.899623064,403.1,0.056047913,397.3,0.312747387,390.2,0.122757305
656.6,0.39294419,484.8,0.299624323,434.1,0.221045968,403.8,0.047090867,398,0.157639429,390.8,0.130600443
657.2,0.018474823,485.4,0.816644999,434.7,0.019105783,404.4,0.040758373,398.6,0.174271763,391.5,0.120376898
657.9,0.016243954,486.1,0.892146639,435.4,0.02264435,405.1,0.058001068,399.3,0.147034409,392.1,0.123123522
658.5,0.016101282,486.7,0.027883268,436.1,0.015819753,405.7,0.067309071,,,,
659.2,0.016001335,487.4,0.017731441,436.7,0.021685321,406.4,0.07263447,,,,
659.8,0.015603838,488.1,0.016730449,437.4,0.019449874,407,0.054338903,,,,
660.5,0.015917411,488.7,0.017475853,438.1,0.027151102,407.7,0.06576791,,,,
661.2,0.015592393,489.4,0.01835172,438.7,0.024200771,408.3,0.103732357,,,,
661.8,0.016041772,490,0.017005112,439.4,0.014534943,409,0.364692149,,,,
662.5,0.015636645,490.7,0.015061112,440.1,0.022423095,409.6,0.944229801,,,,
663.1,0.015801442,491.4,0.017619287,440.7,0.024213741,410.2,0.20523537,,,,
663.8,0.015359693,492,0.01620325,441.4,0.016343137,410.9,0.0500206,,,,
664.5,0.015044594,492.7,0.017553674,442.1,0.019958,411.5,0.040361639,,,,
665.1,0.01568471,493.4,0.015451743,442.7,0.02100248,412.2,0.048784619,,,,
